NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E1720900050121,かほく市宇ノ気保健福祉センター,石川県かほく市宇野気ニ71-2,,,妊産婦及びその家族,36.719421,136.706215,
2,E1720900003111,宇ノ気小学校,石川県かほく市宇野気リ147,1,,,36.719725956735,136.70405710809,
3,E1720900007111,河北台中学校,石川県かほく市遠塚ロ47-1,1,,,36.73479373537,136.70312420319,
4,E1720900049121,かほく市七塚健康福祉センター,石川県かほく市遠塚ロ52-10,,,妊産婦及びその家族,36.73477,136.700625,
5,E1720900014111,大海小学校,石川県かほく市夏栗ロ10,1,,,36.778579735518,136.74758318225,
6,E1720900015111,外日角小学校,石川県かほく市外日角ニ52,1,,,36.723647846112,136.69186184095,
7,E1720900016121,石川県立看護大学,石川県かほく市学園台1-1,,,妊産婦及びその家族,36.7808508065799,136.733821094946,
8,E1720900017121,社会福祉法人芙蓉会,石川県かほく市学園台5-19-1,,高齢者・要介護認定者及びその介助者となる家族1名,高齢者・要介護認定者及びその介助者となる家族1名,36.77976795883,136.73045003743,
9,E1720900021111,高松小学校,石川県かほく市高松ヤ10,1,,,36.769075447786,136.71929516708,
10,E1720900022111,高松中学校,石川県かほく市高松ヤ42,1,,,36.767294200191,136.72103544555,
11,E1720900024121,社会福祉法人四恩会ライフクリエートかほく,石川県かほく市七窪ハ7-1,,障がい者及びその介助者となる家族,障がい者及びその介助者となる家族,36.723505780501,136.7094130615,
12,E1720900026121,社会福祉法人眉丈会,石川県かほく市秋浜へ20-1-2,,障がい者、障がい児及びその介助者となる家族、保護者,障がい者、障がい児及びその介助者となる家族、保護者,36.72837136685,136.69275491499,
13,E1720900028111,宇ノ気中学校,石川県かほく市森レ1,1,,,36.723278909888,136.70656126125,
14,E1720900034111,金津小学校,石川県かほく市谷カ30,1,,,36.741566040667,136.72529581125,
15,E1720900039121,社会福祉法人白千鳥会,石川県かほく市内高松ヤ36,,障がい者及びその介助者となる家族,障がい者及びその介助者となる家族,36.763956348076,136.73745460524,
16,E1720900048121,社会福祉法人相生会,石川県かほく市白尾タ220,,,高齢者・要介護認定者及びその介護者となる家族,36.717666,136.696022,
17,E1720900047111,七塚小学校,石川県かほく市木津ホ61-1,1,,,36.747906142761,136.70173985234,
18,E1720700002111,粟ノ保小学校,石川県羽咋市粟生町キ1-2,1,,,36.880648040343,136.7781414121,
19,E1720700003111,一ノ宮公民館,石川県羽咋市一ノ宮町レ86-1,1,,,36.924721049061,136.76275262153,
20,E1720700004111,西北台保育所,石川県羽咋市一ノ宮町伊9-3,,,,36.936876542947,136.76105112116,
21,E1720700006111,羽松高校,石川県羽咋市吉崎町ラ1-2,1,,,36.89787908461,136.79335898615,
22,E1720700009111,鹿島路公民館,石川県羽咋市鹿島路町1788,,,,36.935339501277,136.81241231334,
23,E1720700011111,国立能登青少年交流の家,石川県羽咋市柴垣町14-5-6,1,,,36.935054033088,136.76964256503,
24,E1720700012111,上甘田公民館,石川県羽咋市柴垣町３６字19-1,1,,,36.952939302809,136.76627707101,
25,E1720700013111,富永公民館,石川県羽咋市深江町ト108,,,,36.902877615168,136.80156916424,
26,E1720700014111,瑞穂小学校,石川県羽咋市深江町ル61-1,1,,,36.902676246461,136.80044476476,
27,E1720700015111,神子原公民館,石川県羽咋市神子原町チ18,,,,36.883979106784,136.8621278192,
28,E1720700016111,神子原スポーツセンター,石川県羽咋市神子原町チ22,1,,,36.884214455386,136.8618352752,
29,E1720700017111,羽咋工業高校,石川県羽咋市西釜屋町ク21,1,,,36.908384053372,136.77507895134,
30,E1720700018111,勤労者総合福祉センター,石川県羽咋市千里浜町カ1-20,,,,36.885407703368,136.77088235229,
31,E1720700020111,千里浜児童センター,石川県羽咋市千里浜町タ118-2,,,,36.892044246089,136.77042010689,
32,E1720700022111,千里浜公民館,石川県羽咋市千里浜町ハ140-2,,,,36.89502393793,136.77131217082,
33,E1720700023111,千里浜保育所,石川県羽咋市千里浜町ロ39-1,,,,36.894441975155,136.77307359554,
34,E1720700024111,とき保育園,石川県羽咋市千路町は10,,,,36.927175253967,136.80504744066,
35,E1720700025111,越路野公民館,石川県羽咋市千路町も30,,,,36.924496575519,136.79329127198,
36,E1720700047111,ＬＡＫＵＮＡはくい,石川県羽咋市川原町テ43,,,,36.894939,136.782349,
37,E1720700029111,余喜公民館（よき交流センター）,石川県羽咋市大町コ部42,1,,,36.93279604071,136.84603113432,
38,E1720700030111,西北台小学校,石川県羽咋市滝町ケ14-2,1,,,36.935188618637,136.76250768045,
39,E1720700031112,羽咋中学校,石川県羽咋市中央町キ59,1,,,36.891497933744,136.77545673745,
40,E1720700031111,羽咋市民体育館,石川県羽咋市中央町キ59,1,,,36.891902709237,136.77643235165,
41,E1720700032111,羽咋小学校,石川県羽咋市中央町サ90,1,,,36.894076403656,136.77534675977,
42,E1720700033111,羽咋公民館,石川県羽咋市中央町フ169-2,1,,,36.896980180062,136.77532209584,
43,E1720700035113,羽咋体育館,石川県羽咋市鶴多町亀田17,1,,,36.898343529373,136.79031812055,
44,E1720700035111,老人福祉センター,石川県羽咋市鶴多町亀田17,1,,,36.89859234525,136.79377817017,
45,E1720700035112,羽咋すこやかセンター,石川県羽咋市鶴多町亀田17,1,,,36.898090422734,136.79132663113,
46,E1720700036111,羽咋市武道館,石川県羽咋市鶴多町鶴多田12,,,,36.898781101582,136.79000161988,
47,E1720700037111,コスモアイル羽咋,石川県羽咋市鶴多町免田25,1,,,36.898359334556,136.78818042712,
48,E1720700038111,こすもす保育園,石川県羽咋市東的場町古川田15-1,,,,36.898204853891,136.78692105677,
49,E1720700039111,邑知保育園,石川県羽咋市飯山町ト8-1,,,,36.902246671497,136.82482625385,
50,E1720700040111,邑知中学校,石川県羽咋市飯山町ホ57,1,,,36.905905039369,136.83015088128,
51,E1720700041111,邑知公民館（邑知ふれあいセンター）,石川県羽咋市飯山町ル78-1,,,,36.902066861146,136.82802110953,
52,E1720700042111,邑知小学校,石川県羽咋市飯山町ロ20,1,,,36.900281314091,136.82299742277,
53,E1720700044111,粟ノ保放課後児童クラブ（粟ノ保公民館）,石川県羽咋市兵庫町タ56-1,,,,36.882282138434,136.77899853575,
54,E1720700045111,羽咋高等学校,石川県羽咋市柳橋町1,1,,,36.893496762588,136.78925788857,
55,E1720600001111,加賀市立塩屋地区会館,石川県加賀市塩屋町イ29-1,,,,36.29466484944,136.25302349438,
56,E1720600002111,加賀市立金明小学校,石川県加賀市塩浜町104,1,,,36.350195080714,136.33380459832,
57,E1720600003111,加賀市立金明地区会館,石川県加賀市塩浜町105,,,,36.350076602931,136.33448833118,
58,E1720600004111,加賀市立南郷地区会館,石川県加賀市下河崎町ヘ102,,,,36.30736630144,136.33341845595,
59,E1720600005111,加賀市立南郷小学校,石川県加賀市吸坂町ヤ26,1,,,36.30421427096,136.33771556258,
60,E1720600006111,加賀市立橋立地区会館,石川県加賀市橋立町ロ357,,,,36.350815429392,136.31137804175,
61,E1720600008111,石川県立大聖寺実業高等学校,石川県加賀市熊坂町ヲ77,1,,,36.298244637422,136.3045972474,
62,E1720600009111,旧加賀市立黒崎小学校,石川県加賀市黒崎町め23,1,,,36.335131076247,136.29545578122,
63,E1720600010111,加賀市立作見小学校,石川県加賀市作見町ナ154,1,,,36.323547067751,136.35385213463,
64,E1720600011111,加賀市立作見地区会館,石川県加賀市作見町ヨ36-1,,,,36.324124782114,136.35309071001,
65,E1720600012111,加賀市立三木地区会館,石川県加賀市三木町ニ126-1,,,,36.293034366631,136.28445771787,
66,E1720600013111,旧加賀市立三木小学校,石川県加賀市三木町ニ98-1,1,,,36.293419427278,136.28546855375,
67,E1720600015111,山代老人福祉センター（山代児童センター）,石川県加賀市山代温泉ヨ22-2,,,,36.289011679765,136.35849678858,
68,E1720600082111,山代温泉第一区区民会館,石川県加賀市山代温泉リ35-3,,,,36.282496,136.357917,
69,E1720600017111,加賀市立山代地区会館,石川県加賀市山代温泉山背台1-60,,,,36.29159093862,136.35927664099,
70,E1720600018111,加賀市立山代小学校,石川県加賀市山代温泉山背台2-44-1,1,,,36.292041545126,136.35779832359,
71,E1720600019111,加賀市文化会館,石川県加賀市山代温泉北部2-68,1,,,36.296903627685,136.35766733621,
72,E1720600023111,加賀市立山中中学校,石川県加賀市山中温泉上原町ト甲1-1,1,,,36.25400421558,136.36413431641,
73,E1720600024111,加賀市立山中小学校,石川県加賀市山中温泉上野町ル15-9,1,,,36.253391347761,136.36835130479,
74,E1720600027111,加賀市立東谷地区会館,石川県加賀市山中温泉中津原町ハ124-1,,,,36.26172776648,136.39823784893,
75,E1720600029111,加賀市立河南小学校,石川県加賀市山中温泉中田町ニ25-1,1,,,36.270130216794,136.35645564081,
76,E1720600030111,加賀市立河南地区会館,石川県加賀市山中温泉長谷田町リ391,,,,36.264999981661,136.36114454965,
77,E1720600033111,山中総合福祉センター,石川県加賀市山中温泉湯の出町レ11,,,,36.2467808460366,136.372868335616,
78,E1720600034111,加賀市スポーツセンター,石川県加賀市山田町リ245-2,1,,,36.327722294453,136.33008325936,
79,E1720600035111,加賀市立湖北小学校,石川県加賀市柴山町ひ92-1,1,,,36.35789411682,136.36768308397,
80,E1720600036111,加賀市立湖北地区会館,石川県加賀市柴山町も33,,,,36.358154183142,136.36640618127,
81,E1720600037111,加賀市立橋立海青学園,石川県加賀市小塩町ろ1,1,,,36.3481206961251,136.313887542628,
82,E1720600038111,加賀市立庄小学校,石川県加賀市庄町ワ101-1,1,,,36.312895412492,136.37433604795,
83,E1720600039111,加賀市立庄地区会館,石川県加賀市庄町ワ142-1,,,,36.312467437579,136.37463400648,
84,E1720600040111,作見児童センター,石川県加賀市松が丘1-8-1,,,,36.323263873782,136.34695164631,
85,E1720600041111,加賀市立山代中学校,石川県加賀市上野町エ45-2,1,,,36.298096028888,136.37348301487,
86,E1720600042111,加賀市立東谷口地区会館,石川県加賀市水田丸町チ12,,,,36.284254944297,136.39117765813,
87,E1720600043111,加賀市立東谷口小学校,石川県加賀市水田丸町ヌ36-1,1,,,36.28468303979,136.39019060521,
88,E1720600044111,加賀市立西谷地区会館,石川県加賀市菅谷町45,,,,36.229275584618,136.36633775356,
89,E1720600045111,加賀市立三谷地区会館,石川県加賀市曽宇町ホ7,,,,36.285750693997,136.3211029103,
90,E1720600046111,加賀市立分校小学校,石川県加賀市打越町ニ22,1,,,36.329347857057,136.40073250995,
91,E1720600047111,石川県立大聖寺高等学校,石川県加賀市大聖寺永町33-1,1,,,36.309664310088,136.31900377322,
92,E1720600048111,加賀市立大聖寺地区会館,石川県加賀市大聖寺京町1,,,,36.307281826352,136.31046558264,
93,E1720600049111,旧加賀市立緑丘小学校,石川県加賀市大聖寺瀬越町塩屋境山1-1,1,,,36.295065796281,136.25568397276,
94,E1720600050111,大聖寺老人福祉センター（大聖寺児童センター）,石川県加賀市大聖寺鷹匠町57-1,,,,36.306816201077,136.31347574261,
95,E1720600052111,加賀市立錦城中学校,石川県加賀市大聖寺地方町６乙74-1,1,,,36.300049090416,136.30271523767,
96,E1720600053111,加賀体育館,石川県加賀市大聖寺東町2-3-1,1,,,36.303770668476,136.31835908763,
97,E1720600053112,加賀市武道館,石川県加賀市大聖寺東町2-3-1,1,,,36.304039,136.31868,
98,E1720600054111,石川県立加賀聖城高等学校,石川県加賀市大聖寺馬場町28,1,,,36.305895150232,136.30737641881,
99,E1720600056111,加賀市立錦城小学校,石川県加賀市大聖寺八間道57,1,,,36.307739327334,136.30818908878,
100,E1720600057111,かが交流プラザさくら,石川県加賀市大聖寺八間道65,,,,36.3079261688067,136.309735174245,
101,E1720600058111,加賀市立錦城東小学校,石川県加賀市大聖寺敷地ワ13,1,,,36.312100076977,136.32275195286,
102,E1720600061111,加賀市立片山津中学校,石川県加賀市潮津町レ1-1,1,,,36.351270042942,136.34921760887,
103,E1720600062111,加賀市立勅使小学校,石川県加賀市勅使町24,1,,,36.303146726646,136.38907084202,
104,E1720600063111,加賀市立勅使地区会館,石川県加賀市勅使町ヌ24-1,,,,36.303728035347,136.38969725344,
105,E1720600064111,加賀市立三谷小学校,石川県加賀市直下町ニ丙73,1,,,36.283406982573,136.32477753665,
106,E1720600066111,加賀市立東和中学校,石川県加賀市動橋町ネ54-1,1,,,36.325238916322,136.38167827735,
107,E1720600067111,加賀市立動橋小学校,石川県加賀市動橋町ヘ1-1,1,,,36.329655643782,136.38908431972,
108,E1720600068111,加賀市立動橋地区会館,石川県加賀市動橋町ホ15-1,,,,36.330489725848,136.38959930385,
109,E1720600068112,動橋児童センター,石川県加賀市動橋町ホ15-1,,,,36.330519977362,136.38930426086,
110,E1720600069111,石川県立加賀高等学校,石川県加賀市動橋町ム53,,,,36.330946477089,136.37800171104,
111,E1720600071111,加賀市立分校地区会館,石川県加賀市分校町68-2,,,,36.328863824152,136.40077542529,
112,E1720600072111,加賀市立別所地区会館,石川県加賀市別所町漆器団地10-3,,,,36.276228800171,136.35913598925,
113,E1720600074111,加賀市立片山津地区会館,石川県加賀市片山津温泉7-1-1,,,,36.344815253664,136.3648890211,
114,E1720600075111,片山津老人福祉センター（片山津児童センター）,石川県加賀市片山津温泉ヒ19-1,,,,36.345156305789,136.36547715991,
115,E1720600077111,加賀市立片山津小学校,石川県加賀市片山津町ス丙21,1,,,36.33985014691,136.36654933148,
116,E1720600081111,石川県立錦城特別支援学校,石川県加賀市豊町イ120-1,1,,,36.325282,136.310759,
117,E1720100005111,緑小学校,石川県金沢市みどり1-166,1,,,36.57012759,136.5907047,
118,E1720100007111,緑中学校,石川県金沢市みどり2-3,1,,,36.57051685,136.5844456,
119,E1720100016111,粟崎公民館,石川県金沢市粟崎町1-3,1,,,36.62561064,136.6278979,
120,E1720100020111,ものづくり会館,石川県金沢市粟崎町4-80-1,1,,,36.62856087,136.6203539,
121,E1720100022111,粟崎小学校,石川県金沢市粟崎町ヘ78,1,,,36.62123295,136.6245675,
122,E1720100029111,金沢プール,石川県金沢市磯部町ハ55,1,,,36.59706661,136.6598392,
123,E1720100032111,西小学校,石川県金沢市駅西新町3-15-1,1,,,36.59216806,136.636561,
124,E1720100041111,浅野町公民館,石川県金沢市乙丸町甲161,1,,,36.586739,136.665312,
125,E1720100589111,金沢歌劇座,石川県金沢市下本多町6-27,1,,,36.558994,136.658605,
126,E1720100043111,旧朝日小学校,石川県金沢市加賀朝日町ホ33,1,,,36.62268612,136.7556051,
127,E1720100045111,金沢大学（角間キャンパス）,石川県金沢市角間町,1,,,36.54709684,136.7073725,
128,E1720100046111,額中学校,石川県金沢市額乙丸町イ1,1,,,36.5107,136.622989,
129,E1720100047111,額小学校,石川県金沢市額乙丸町イ55,1,,,36.51030313,136.621582,
130,E1720100057111,額公民館,石川県金沢市額谷3-1-1,1,,,36.51088342,136.6241778,
131,E1720100059121,鶴寿園,石川県金沢市額谷町ヌ1,1,,高齢者（65歳以上）及び障害のある方のうち、指定一般避難所において市が特定し、環境調整を事前に行った者及びその家族等,36.50981237,136.6294954,
132,E1720100060111,額谷ふれあい体育館,石川県金沢市額谷町ヌ16,1,,,36.509409,136.629936,
133,E1720100066111,大徳中学校,石川県金沢市観音堂町ト35,1,,,36.590106,136.607238,
134,E1720100067111,米丸公民館,石川県金沢市間明町2-72,1,,,36.56512302,136.618287,
135,E1720100590111,石川県立医王特別支援学校,石川県金沢市岩出町ホ1,1,,,36.611581,136.702387,
136,E1720100584111,犀桜小学校,石川県金沢市菊川1-2-15,1,,,36.550046,136.661687,
137,E1720100069111,菊川町公民館,石川県金沢市菊川2-3-3,1,,,36.55134757,136.6599542,
138,E1720100072111,金沢北陵高校,石川県金沢市吉原町ワ21,1,,,36.60731924,136.6927542,
139,E1720100074111,国際高等専門学校,石川県金沢市久安2-270,1,,,36.53171086,136.6281705,
140,E1720100076111,三馬小学校,石川県金沢市久安6-154,1,,,36.543557,136.633738,
141,E1720100077111,三馬公民館,石川県金沢市久安6-59-1,1,,,36.54208365,136.6346077,
142,E1720100079111,旧三谷小学校,石川県金沢市宮野町ニ277,1,,,36.59600326,136.7365386,
143,E1720100080111,三谷公民館,石川県金沢市宮野町ホ79,1,,,36.5968104,136.7377539,
144,E1720100082111,浅野町小学校,石川県金沢市京町35-1,1,,,36.58208,136.658873,
145,E1720100370111,中央小学校,石川県金沢市玉川町2-1,1,,,36.56997831304,136.65080945953,
146,E1720100087111,港中学校,石川県金沢市近岡町217,1,,,36.609826,136.628096,
147,E1720100090111,金石町公民館,石川県金沢市金石通町3-14,,,,36.60430974,136.5943079,
148,E1720100091111,金石中学校,石川県金沢市金石東1-13-1,1,,,36.60026642,136.597261,
149,E1720100094121,松寿荘,石川県金沢市金石北3-3-33,1,,高齢者（65歳以上）及び障害のある方のうち、指定一般避難所において市が特定し、環境調整を事前に行った者及びその家族等,36.607933,136.599387,
150,E1720100096111,金石町小学校,石川県金沢市金石北4-1-1,1,,,36.608937,136.598654,
151,E1720100099111,駒帰資料保管所（旧駒帰小学校）,石川県金沢市駒帰町ヌ40-1,1,,,36.48327982,136.7279256,
152,E1720100102111,伏見台小学校,石川県金沢市窪5-335,1,,,36.52665357,136.6380041,
153,E1720100103111,伏見台公民館,石川県金沢市窪5-675,1,,,36.52591793,136.6380717,
154,E1720100104111,金沢錦丘高校・中学校,石川県金沢市窪6-218,1,,,36.53002838,136.6413688,
155,E1720100106111,兼六小学校,石川県金沢市兼六元町7-15,1,,,36.56552732,136.66613,
156,E1720100107111,味噌蔵町公民館,石川県金沢市兼六元町7-19,1,,,36.56644534,136.6653046,
157,E1720100116111,戸板小学校,石川県金沢市戸板1-1,1,,,36.57926794,136.6227611,
158,E1720100117111,戸板公民館,石川県金沢市戸板1-2,1,,,36.579886,136.6226297,
159,E1720100126111,金沢星稜大学,石川県金沢市御所町丑10-1,1,,,36.58360241,136.6820866,
160,E1720100134111,文化ホール,石川県金沢市高岡町15-1,1,,,36.566616891363,136.65237099161,
161,E1720100137111,松ヶ枝公民館,石川県金沢市高岡町7-23,1,,,36.56984623,136.6528536,
162,E1720100141111,高尾台中学校,石川県金沢市高尾台1-128,1,,,36.52291499,136.6343828,
163,E1720100149111,此花町公民館,石川県金沢市此花町2-7,1,,,36.57717463,136.6519152,
164,E1720100151111,花園公民館,石川県金沢市今町チ41,1,,,36.63347397,136.7076224,
165,E1720100152111,花園小学校,石川県金沢市今町ヌ34,1,,,36.63262249,136.7082292,
166,E1720100153111,材木公民館,石川県金沢市材木町13-11,1,,,36.56692895,136.6675909,
167,E1720100154111,旧材木町小学校体育館,石川県金沢市材木町13-12,1,,,36.566764,136.668018,
168,E1720100161111,女性センター,石川県金沢市三社町1-44,1,,,36.57050711,136.6455484,
169,E1720100166111,内川公民館,石川県金沢市三小牛町20-1-10,1,,,36.50980493,136.6749714,
170,E1720100168111,北陸学院大学,石川県金沢市三小牛町イ11,1,,,36.51775163,136.6704311,
171,E1720100168112,北陸学院小学校,石川県金沢市三小牛町イ11,1,,,36.5180448,136.67196,
172,E1720100179111,富樫公民館,石川県金沢市山科1-6-8,1,,,36.5283824,136.6472696,
173,E1720100181111,富樫小学校,石川県金沢市山科3-6-60,1,,,36.529503,136.645737,
174,E1720100185111,四十万小学校,石川県金沢市四十万3-186,1,,,36.50276979,136.6175628,
175,E1720100186111,四十万公民館,石川県金沢市四十万3-90,1,,,36.503597360304,136.61883165357,
176,E1720100194111,金沢海みらい図書館,石川県金沢市寺中町イ1-1,1,,,36.59428184,136.6043739,
177,E1720100204111,杜の里小学校,石川県金沢市若松町3-282,1,,,36.5573615,136.6864222,
178,E1720100206111,野田中学校,石川県金沢市若草町1-23,1,,,36.5441495,136.657608,
179,E1720100207111,城南市民体育館,石川県金沢市若草町1-60,1,,,36.544331,136.656789,
180,E1720100210111,城南公民館,石川県金沢市若草町22-12,1,,,36.54172445,136.6612,
181,E1720100211111,十一屋小学校,石川県金沢市十一屋町3-45,1,,,36.5450108,136.6609902,
182,E1720100216111,諸江公民館,石川県金沢市諸江町29-1,1,,,36.59062966,136.6415363,
183,E1720100219111,浅野川中学校,石川県金沢市諸江町下丁388,1,,,36.60261397,136.6491542,
184,E1720100222111,城北児童会館,石川県金沢市小坂町西8-11,1,,,36.589572678426,136.67189638711,
185,E1720100224111,小坂小学校,石川県金沢市小坂町中142,1,,,36.59010151,136.6776713,
186,E1720100225111,星稜高校,石川県金沢市小坂町南206,1,,,36.58495928,136.6824429,
187,E1720100227111,小坂公民館,石川県金沢市小坂町北312,1,,,36.593443,136.675689,
188,E1720100228111,北鳴中学校,石川県金沢市小坂町北95,1,,,36.59512422,136.6764992,
189,E1720100231111,キゴ山ふれあい研修センター青少年交流棟,石川県金沢市小豆沢町ヲ4,1,,,36.52375634,136.7459503,
190,E1720100593111,金沢美術工芸大学,石川県金沢市小立野2-40-1,1,,,36.547561,136.681877,
191,E1720100233111,崎浦公民館,石川県金沢市小立野2-41-36,1,,,36.54680392,136.6804982,
192,E1720100235111,小立野公民館,石川県金沢市小立野4-7-51,1,,,36.550971,136.679032,
193,E1720100236111,小立野小学校,石川県金沢市小立野4-7-7,1,,,36.551585,136.678373,
194,E1720100240111,金沢大学（鶴間キャンパス）,石川県金沢市小立野5-11-80,1,,,36.55490268,136.6765663,
195,E1720100243111,金沢商業高校,石川県金沢市小立野5-4-1,1,,,36.55315583,136.6792867,
196,E1720100245111,松寺公民館,石川県金沢市松寺町丑42,1,,,36.60386147,136.6519044,
197,E1720100251111,大徳小学校,石川県金沢市松村町6-200,,,,36.59143314,136.6100386,
198,E1720100255111,金沢龍谷高校,石川県金沢市上安原町169-1,1,,,36.56604097,136.5862184,
199,E1720100259111,三和公民館,石川県金沢市上荒屋4-82,1,,,36.553753,136.593355,
200,E1720100264111,東浅川公民館,石川県金沢市上中町ニ14,1,,,36.5204318,136.7054949,
201,E1720100265111,湖南学院,石川県金沢市上中町ロ11-1,1,,,36.51739,136.703246,
202,E1720100266111,旧上平小学校,石川県金沢市上平町ハ25,1,,,36.62775862,136.773865,
203,E1720100267111,城南中学校,石川県金沢市城南1-24-1,1,,,36.543669,136.674374,
204,E1720100269111,石川県青少年総合研修センター,石川県金沢市常盤町212-1,1,,,36.56553,136.676437,
205,E1720100275111,新神田公民館,石川県金沢市新神田1-1-18,1,,,36.56397337,136.6356117,
206,E1720100271111,高岡中学校,石川県金沢市新神田1-10-1,1,,,36.56543712,136.635691,
207,E1720100272111,新神田小学校,石川県金沢市新神田1-10-58,1,,,36.56499942,136.6347753,
208,E1720100278111,旧新竪町小学校,石川県金沢市新竪町3-25,1,,,36.55570812,136.6568678,
209,E1720100279111,西南部中学校,石川県金沢市新保本1-149,1,,,36.55276413,136.6062103,
210,E1720100283111,森山公民館,石川県金沢市森山2-11-13,1,,,36.5794096,136.6690429,
211,E1720100285111,森山町小学校,石川県金沢市森山2-13-50,1,,,36.578354,136.668183,
212,E1720100293111,浅野川小学校,石川県金沢市須崎町チ42,1,,,36.6210696,136.6416554,
213,E1720100294111,大徳公民館,石川県金沢市畝田西1-201-1,1,,,36.59232097,136.6099615,
214,E1720100296111,市立工業高校,石川県金沢市畝田東1-1-1,1,,,36.59179339,136.615675,
215,E1720100299111,金沢西高校,石川県金沢市畝田東3-526,1,,,36.59621236,136.6180191,
216,E1720100300111,西南部公民館,石川県金沢市西金沢3-684,1,,,36.55473086,136.6122129,
217,E1720100307111,西公民館,石川県金沢市西念2-34-9,1,,,36.586902,136.640583,
218,E1720100310111,近江町いちば館,石川県金沢市青草町88,1,,,36.57151325,136.655908,
219,E1720100311111,千坂公民館,石川県金沢市千木1-119,1,,,36.60578084,136.6741686,
220,E1720100312111,千坂小学校,石川県金沢市千木1-125,1,,,36.60575006,136.6753219,
221,E1720100318111,金沢高校,石川県金沢市泉本町3-111,1,,,36.55061631,136.6353428,
222,E1720100319111,清泉中学校,石川県金沢市泉本町3-3,1,,,36.54805464,136.6362932,
223,E1720100320111,金沢中央高校,石川県金沢市泉本町6-105,1,,,36.554056,136.638876,
224,E1720100323111,金沢泉丘高校,石川県金沢市泉野出町3-10-10,1,,,36.538141,136.648931,
225,E1720100325111,市総合体育館,石川県金沢市泉野出町3-8-1,1,,,36.53994487,136.6502078,
226,E1720100328111,旧東浅川小学校,石川県金沢市浅川町イ140-1,1,,,36.518645,136.706788,
227,E1720100331111,北陸大学,石川県金沢市太陽が丘1-1,1,,,36.52545366,136.7074872,
228,E1720100338111,大浦小学校,石川県金沢市大浦町ヌ87,1,,,36.623324,136.653178,
229,E1720100339111,大浦公民館,石川県金沢市大浦町ヌ93-1,,,,36.624405750715,136.65315873213,
230,E1720100342112,浅野川公民館,石川県金沢市大河端西1-96,1,,,36.61532814,136.6396038,
231,E1720100342111,浅野川市民体育館,石川県金沢市大河端西1-96,1,,,36.61479179,136.6399429,
232,E1720100345111,大桑防災拠点広場,石川県金沢市大桑3-80,1,,,36.53645755,136.6766789,
233,E1720100347121,万寿苑,石川県金沢市大桑町ヤ1-4,1,,高齢者（65歳以上）及び障害のある方のうち、指定一般避難所において市が特定し、環境調整を事前に行った者及びその家族等,36.52532371,136.6771646,
234,E1720100350111,金沢向陽高校,石川県金沢市大場町東590,1,,,36.62400924,136.687387,
235,E1720100352111,金沢桜丘高校,石川県金沢市大樋町16-1,1,,,36.58336475,136.6789926,
